[04:28:27] [INFO] received Windows console close event; shutting log-core down
[04:32:42] [INFO] received Windows console close event; shutting log-core down
[04:36:59] [INFO] received Windows console close event; shutting log-core down
[07:51:44] [INFO] received Windows console close event; shutting log-core down
[14:22:21] [INFO] received Windows console close event; shutting log-core down
[14:25:46] [INFO] received Windows console close event; shutting log-core down
[15:49:18] [INFO] received Windows console close event; shutting log-core down
[04:11:37] [INFO] received Windows console close event; shutting log-core down
[15:18:09] [INFO] received Windows console close event; shutting log-core down
[16:34:51] [INFO] received Windows console close event; shutting log-core down
[16:34:56] [INFO] received Windows console close event; shutting log-core down
[16:44:43] [INFO] received Windows console close event; shutting log-core down
[01:19:29] [INFO] received Windows console close event; shutting log-core down
[02:11:58] [INFO] received Windows console close event; shutting log-core down
[02:14:55] [INFO] received Windows console close event; shutting log-core down
[02:39:30] [INFO] received Windows console close event; shutting log-core down
[05:18:25] [INFO] received Windows console close event; shutting log-core down
[04:34:45] [INFO] received Windows console close event; shutting log-core down
[01:51:52] [INFO] received Windows console close event; shutting log-core down
[02:39:07] [INFO] received Windows console close event; shutting log-core down
[02:46:06] [INFO] received Windows console close event; shutting log-core down
